script,Boat.CrewXPos,Boat.MassAftBallast,Boat.MassFwdBallast,Boat.MassSideBallast,Boat.RudderDelta,Boat.TWS_kts,Boat.Aero.Power,Boat.Aero.Travel,Boat.Keel.KeelCant,Boat.Port.FoilExtPct,Boat.Port.FoilRake,Boat.Stbd.FoilExtPct,Boat.Stbd.FoilRake,Boat.Stbd.RudderRake
modified_Script23.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,896,1.5,0,0,0
modified_Script230.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,811,1.5,0,0,0
modified_Script231.csv,10,0,0,0,0.5,21.1,-0.4,4.0,24,811,2.5,0,0,0
modified_Script232.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,811,0.5,0,0,0
modified_Script233.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,811,1.5,0,0,0
modified_Script234.csv,10,0,0,0,0.5,21.1,-0.4,4.0,26,811,2.5,0,0,0
modified_Script235.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,811,0.5,0,0,0
modified_Script236.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,811,1.5,0,0,0
modified_Script237.csv,10,0,0,0,0.5,21.1,-0.4,4.0,28,811,2.5,0,0,0
modified_Script238.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,811,0.5,0,0,0
modified_Script239.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,811,1.5,0,0,0
modified_Script24.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,896,2.5,0,0,0
modified_Script240.csv,10,0,0,0,0.5,21.1,-0.4,4.0,30,811,2.5,0,0,0
modified_Script241.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,895,0.5,0,0,0
modified_Script242.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,895,1.5,0,0,0
modified_Script243.csv,10,0,0,0,0.5,21.1,-0.4,3.0,24,895,2.5,0,0,0
modified_Script244.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,895,0.5,0,0,0
modified_Script245.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,895,1.5,0,0,0
modified_Script246.csv,10,0,0,0,0.5,21.1,-0.4,3.0,26,895,2.5,0,0,0
modified_Script247.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,895,0.5,0,0,0
modified_Script248.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,895,1.5,0,0,0
modified_Script249.csv,10,0,0,0,0.5,21.1,-0.4,3.0,28,895,2.5,0,0,0
modified_Script25.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,896,0.5,0,0,0
modified_Script250.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,895,0.5,0,0,0
modified_Script251.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,895,1.5,0,0,0
modified_Script252.csv,10,0,0,0,0.5,21.1,-0.4,3.0,30,895,2.5,0,0,0
modified_Script253.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,895,0.5,0,0,0
modified_Script254.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,895,1.5,0,0,0
modified_Script255.csv,10,0,0,0,0.5,21.1,-0.4,3.2,24,895,2.5,0,0,0
modified_Script256.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,895,0.5,0,0,0
modified_Script257.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,895,1.5,0,0,0
modified_Script258.csv,10,0,0,0,0.5,21.1,-0.4,3.2,26,895,2.5,0,0,0
modified_Script259.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,895,0.5,0,0,0
modified_Script26.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,896,1.5,0,0,0
modified_Script260.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,895,1.5,0,0,0
modified_Script261.csv,10,0,0,0,0.5,21.1,-0.4,3.2,28,895,2.5,0,0,0
modified_Script262.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,895,0.5,0,0,0
modified_Script263.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,895,1.5,0,0,0
modified_Script264.csv,10,0,0,0,0.5,21.1,-0.4,3.2,30,895,2.5,0,0,0
modified_Script265.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,895,0.5,0,0,0
modified_Script266.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,895,1.5,0,0,0
modified_Script267.csv,10,0,0,0,0.5,21.1,-0.4,3.5,24,895,2.5,0,0,0
modified_Script268.csv,10,0,0,0,0.5,21.1,-0.4,3.5,26,895,0.5,0,0,0
